Cancer Type,Gender,Survival (%)
Hodgkin lymphoma,Female,90.4
Hodgkin lymphoma,Female,86.8
Hodgkin lymphoma,Female,86.2
Hodgkin lymphoma,Female,99.6
Hodgkin lymphoma,Female,100
Hodgkin lymphoma,Female,96.7
Hodgkin lymphoma,Female,81.5
Hodgkin lymphoma,Female,99.3
Hodgkin lymphoma,Female,96.6
Hodgkin lymphoma,Female,93.3
Hodgkin lymphoma,Female,80.9
Hodgkin lymphoma,Female,98.8
Hodgkin lymphoma,Female,77.1
Hodgkin lymphoma,Female,97.3
Hodgkin lymphoma,Female,76.7
Hodgkin lymphoma,Female,76
Hodgkin lymphoma,Female,99
Hodgkin lymphoma,Female,97.6
Hodgkin lymphoma,Female,90.4
Hodgkin lymphoma,Female,75.4
Hodgkin lymphoma,Female,85.7
Hodgkin lymphoma,Female,62.1
Hodgkin lymphoma,Female,82.4
Hodgkin lymphoma,Female,59
Hodgkin lymphoma,Female,83
Hodgkin lymphoma,Female,56.7
Hodgkin lymphoma,Female,79.1
Hodgkin lymphoma,Female,52.7
Hodgkin lymphoma,Male,99.7
Hodgkin lymphoma,Male,99
Hodgkin lymphoma,Male,98.2
Hodgkin lymphoma,Male,94.2
Hodgkin lymphoma,Male,97.4
Hodgkin lymphoma,Male,86.5
Hodgkin lymphoma,Male,98.9
Hodgkin lymphoma,Male,96.8
Hodgkin lymphoma,Male,99.7
Hodgkin lymphoma,Male,98.5
Hodgkin lymphoma,Male,97.8
Hodgkin lymphoma,Male,86.4
Hodgkin lymphoma,Male,98.5
Hodgkin lymphoma,Male,98.3
Hodgkin lymphoma,Male,95.8
Hodgkin lymphoma,Male,81.2
Hodgkin lymphoma,Male,93.8
Hodgkin lymphoma,Male,78.9
Hodgkin lymphoma,Male,92
Hodgkin lymphoma,Male,69.9
Hodgkin lymphoma,Male,63.9
Hodgkin lymphoma,Male,99.6
Hodgkin lymphoma,Male,96.4
Hodgkin lymphoma,Male,90.8
Hodgkin lymphoma,Male,81.8
Hodgkin lymphoma,Male,98.5
Hodgkin lymphoma,Male,95.9
Hodgkin lymphoma,Male,86
Hodgkin lymphoma,Male,77.2
Hodgkin lymphoma,Male,97.9
Hodgkin lymphoma,Male,95.1
Hodgkin lymphoma,Male,84.8
Hodgkin lymphoma,Male,70.5
Hodgkin lymphoma,Male,96.4
Hodgkin lymphoma,Male,93.9
Hodgkin lymphoma,Male,83
Hodgkin lymphoma,Male,67
Hodgkin lymphoma,Male,95.8
Hodgkin lymphoma,Male,55.7
Hodgkin lymphoma,Male,97.2
Hodgkin lymphoma,Male,90.8
Hodgkin lymphoma,Male,83.5
Hodgkin lymphoma,Male,76.6
Hodgkin lymphoma,Male,95.8
Hodgkin lymphoma,Male,87.8
Hodgkin lymphoma,Male,82.2
Hodgkin lymphoma,Male,67.2
Hodgkin lymphoma,Male,95.2
Hodgkin lymphoma,Male,85.1
Hodgkin lymphoma,Male,78.4
Hodgkin lymphoma,Male,62
Hodgkin lymphoma,Male,94.3
Hodgkin lymphoma,Male,83.2
Hodgkin lymphoma,Male,56.9
Hodgkin lymphoma,Male,93.1
Hodgkin lymphoma,Male,54.2
Kidney,Female,99.9
Kidney,Female,99.7
Kidney,Female,98.9
Kidney,Female,97.5
Kidney,Female,99.8
Kidney,Female,99
Kidney,Female,97.6
Kidney,Female,95.3
Kidney,Female,96.9
Kidney,Female,94.1
Kidney,Female,95.4
Kidney,Female,93.2
Kidney,Female,94.2
Kidney,Female,92.1
Kidney,Female,98
Kidney,Female,98.9
Kidney,Female,96.4
Kidney,Female,92.4
Kidney,Female,97.1
Kidney,Female,95.7
Kidney,Female,93.8
Kidney,Female,90.3
Kidney,Female,92.8
Kidney,Female,87.7
Kidney,Female,91.1
Kidney,Female,84.4
Kidney,Female,88
Kidney,Female,85.2
Kidney,Female,95.9
Kidney,Female,94.2
Kidney,Female,94.2
Kidney,Female,92.4
Kidney,Female,91.5
Kidney,Female,89.5
Kidney,Female,89.4
Kidney,Female,87.9
Kidney,Female,84.1
Kidney,Female,86.5
Kidney,Female,86.1
Kidney,Female,83.2
Kidney,Female,79.1
Kidney,Female,83.3
Kidney,Female,81.6
Kidney,Female,78.8
Kidney,Female,80
Kidney,Female,73.3
Kidney,Female,44.8
Kidney,Female,49.4
Kidney,Female,48.1
Kidney,Female,38.4
Kidney,Female,34.1
Kidney,Female,38.8
Kidney,Female,32.8
Kidney,Female,24.6
Kidney,Female,28.6
Kidney,Female,31.2
Kidney,Female,24.3
Kidney,Female,18.3
Kidney,Female,28.6
Kidney,Female,22.9
Kidney,Female,18.3
Kidney,Female,13.9
Kidney,Female,16.9
Kidney,Female,11
Kidney,Male,99.6
Kidney,Male,99.2
Kidney,Male,98.4
Kidney,Male,97.5
Kidney,Male,99.2
Kidney,Male,98.6
Kidney,Male,97.1
Kidney,Male,95.4
Kidney,Male,98.8
Kidney,Male,97.6
Kidney,Male,95.4
Kidney,Male,93.7
Kidney,Male,92.6
Kidney,Male,92.1
Kidney,Male,91.3
Kidney,Male,89.8
Kidney,Male,99.4
Kidney,Male,97.9
Kidney,Male,97.7
Kidney,Male,93.8
Kidney,Male,98.8
Kidney,Male,96
Kidney,Male,95.8
Kidney,Male,90.1
Kidney,Male,96.3
Kidney,Male,93.2
Kidney,Male,93.5
Kidney,Male,85.3
Kidney,Male,93.3
Kidney,Male,85.1
Kidney,Male,91.6
Kidney,Male,80.2
Kidney,Male,96.6
Kidney,Male,96.5
Kidney,Male,95.1
Kidney,Male,93.9
Kidney,Male,91.7
Kidney,Male,93.9
Kidney,Male,90.7
Kidney,Male,89.2
Kidney,Male,90.4
Kidney,Male,90.4
Kidney,Male,86.9
Kidney,Male,85.3
Kidney,Male,86.6
Kidney,Male,88
Kidney,Male,83.3
Kidney,Male,82
Kidney,Male,81.4
Kidney,Male,85.2
Kidney,Male,80.6
Kidney,Male,77.6
Kidney,Male,50.4
Kidney,Male,50.5
Kidney,Male,51.7
Kidney,Male,41.6
Kidney,Male,34.7
Kidney,Male,37
Kidney,Male,38.6
Kidney,Male,28.4
Kidney,Male,29.1
Kidney,Male,29
Kidney,Male,29.4
Kidney,Male,21.4
Kidney,Male,24.2
Kidney,Male,23.8
Kidney,Male,25.9
Kidney,Male,16.3
Kidney,Male,22.5
Kidney,Male,13.3
Larynx,Male,99
Larynx,Male,99.8
Larynx,Male,97.1
Larynx,Male,96.5
Larynx,Male,93.1
Larynx,Male,95
Larynx,Male,90.6
Larynx,Male,91.3
Larynx,Male,88.6
Larynx,Male,88.2
Larynx,Male,100
Larynx,Male,96.9
Larynx,Male,98.2
Larynx,Male,94.6
Larynx,Male,90.9
Larynx,Male,92.6
Larynx,Male,91.6
Larynx,Male,88.7
Larynx,Male,87.7
Larynx,Male,81.3
Larynx,Male,83.2
Larynx,Male,74.6
Larynx,Male,82.1
Larynx,Male,71.7
Larynx,Male,95.6
Larynx,Male,91.3
Larynx,Male,88.6
Larynx,Male,83.6
Larynx,Male,81.4
Larynx,Male,81.9
Larynx,Male,75.3
Larynx,Male,71
Larynx,Male,70.7
Larynx,Male,62.7
Larynx,Male,64.9
Larynx,Male,55.9
Larynx,Male,61.4
Larynx,Male,50.8
Larynx,Male,78.5
Larynx,Male,70.4
Larynx,Male,72.5
Larynx,Male,64
Larynx,Male,66.9
Larynx,Male,55
Larynx,Male,56.3
Larynx,Male,48.4
Larynx,Male,59.2
Larynx,Male,48.7
Larynx,Male,46.2
Larynx,Male,37.9
Larynx,Male,40.5
Larynx,Male,34.1
Larynx,Male,37
Larynx,Male,30.2
Liver,Female,89.3
Liver,Female,78.4
Liver,Female,71.1
Liver,Female,61.5
Liver,Female,66.3
Liver,Female,48.2
Liver,Female,63.3
Liver,Female,41.7
Liver,Female,39
Liver,Female,100
Liver,Female,79.7
Liver,Female,70.9
Liver,Female,72.5
Liver,Female,78.8
Liver,Female,67.2
